# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2741.00000000,DELIVERY19,DELIVERY22,0.00000000
2742.00000000,DELIVERY18,DELIVERY19,0.00000000
2742.00000000,DELIVERY18,DELIVERY22,0.00000000
2742.00000000,DELIVERY21,DELIVERY24,0.00000000
2742.00000000,DELIVERY19,DELIVERY22,0.00000000
2743.00000000,DELIVERY18,DELIVERY19,0.00000000
2743.00000000,DELIVERY18,DELIVERY22,0.00000000
2743.00000000,DELIVERY21,DELIVERY24,0.00000000
2743.00000000,DELIVERY19,DELIVERY22,0.00000000
2744.00000000,DELIVERY18,DELIVERY19,0.00000000
2744.00000000,DELIVERY18,DELIVERY22,0.00000000
2744.00000000,DELIVERY21,DELIVERY24,0.00000000
2744.00000000,DELIVERY19,DELIVERY22,0.00000000
2745.00000000,DELIVERY18,DELIVERY19,0.00000000
2745.00000000,DELIVERY18,DELIVERY22,0.00000000
2745.00000000,DELIVERY21,DELIVERY24,0.00000000
2745.00000000,DELIVERY19,DELIVERY22,0.00000000
2746.00000000,DELIVERY18,DELIVERY19,0.00000000
2746.00000000,DELIVERY18,DELIVERY22,0.00000000
2746.00000000,DELIVERY21,DELIVERY24,0.00000000
2746.00000000,DELIVERY19,DELIVERY22,0.00000000
2747.00000000,DELIVERY18,DELIVERY19,0.00000000
2747.00000000,DELIVERY18,DELIVERY22,0.00000000
2747.00000000,DELIVERY21,DELIVERY24,0.00000000
2747.00000000,DELIVERY19,DELIVERY22,0.00000000
2748.00000000,DELIVERY18,DELIVERY19,0.00000000
2748.00000000,DELIVERY18,DELIVERY22,0.00000000
2748.00000000,DELIVERY21,DELIVERY24,0.00000000
2748.00000000,DELIVERY19,DELIVERY22,0.00000000
2749.00000000,DELIVERY18,DELIVERY19,0.00000000
2749.00000000,DELIVERY18,DELIVERY22,0.00000000
2749.00000000,DELIVERY21,DELIVERY24,0.00000000
2749.00000000,DELIVERY19,DELIVERY22,0.00000000
2750.00000000,DELIVERY18,DELIVERY19,0.00000000
2750.00000000,DELIVERY18,DELIVERY22,0.00000000
2750.00000000,DELIVERY21,DELIVERY24,0.00000000
2750.00000000,DELIVERY19,DELIVERY22,0.00000000
2751.00000000,DELIVERY18,DELIVERY19,0.00000000
2751.00000000,DELIVERY18,DELIVERY22,0.00000000
2751.00000000,DELIVERY21,DELIVERY24,0.00000000
2751.00000000,DELIVERY19,DELIVERY22,0.00000000
2752.00000000,DELIVERY18,DELIVERY19,0.00000000
2752.00000000,DELIVERY18,DELIVERY22,0.00000000
2752.00000000,DELIVERY21,DELIVERY24,0.00000000
2752.00000000,DELIVERY19,DELIVERY22,0.00000000
2753.00000000,DELIVERY18,DELIVERY19,0.00000000
2753.00000000,DELIVERY18,DELIVERY22,0.00000000
2753.00000000,DELIVERY21,DELIVERY24,0.00000000
2753.00000000,DELIVERY19,DELIVERY22,0.00000000
2754.00000000,DELIVERY18,DELIVERY19,0.00000000
2754.00000000,DELIVERY18,DELIVERY22,0.00000000
2754.00000000,DELIVERY21,DELIVERY24,0.00000000
2754.00000000,DELIVERY19,DELIVERY22,0.00000000
2755.00000000,DELIVERY18,DELIVERY19,0.00000000
2755.00000000,DELIVERY18,DELIVERY22,0.00000000
2755.00000000,DELIVERY21,DELIVERY24,0.00000000
2755.00000000,DELIVERY19,DELIVERY22,0.00000000
2756.00000000,DELIVERY18,DELIVERY19,0.00000000
2756.00000000,DELIVERY18,DELIVERY22,0.00000000
2756.00000000,DELIVERY21,DELIVERY24,0.00000000
2756.00000000,DELIVERY19,DELIVERY22,0.00000000
2757.00000000,DELIVERY18,DELIVERY19,0.00000000
2757.00000000,DELIVERY18,DELIVERY22,0.00000000
2757.00000000,DELIVERY21,DELIVERY24,0.00000000
2757.00000000,DELIVERY19,DELIVERY22,0.00000000
2758.00000000,DELIVERY18,DELIVERY19,0.00000000
2758.00000000,DELIVERY18,DELIVERY22,0.00000000
2758.00000000,DELIVERY21,DELIVERY24,0.00000000
2758.00000000,DELIVERY19,DELIVERY22,0.00000000
2759.00000000,DELIVERY18,DELIVERY19,0.00000000
2759.00000000,DELIVERY18,DELIVERY22,0.00000000
2759.00000000,DELIVERY21,DELIVERY24,0.00000000
2759.00000000,DELIVERY19,DELIVERY22,0.00000000
2760.00000000,DELIVERY18,DELIVERY19,0.00000000
2760.00000000,DELIVERY18,DELIVERY22,0.00000000
2760.00000000,DELIVERY21,DELIVERY24,0.00000000
2760.00000000,DELIVERY19,DELIVERY22,0.00000000
2761.00000000,DELIVERY18,DELIVERY19,0.00000000
2761.00000000,DELIVERY18,DELIVERY22,0.00000000
2761.00000000,DELIVERY21,DELIVERY24,0.00000000
2761.00000000,DELIVERY19,DELIVERY22,0.00000000
2762.00000000,DELIVERY18,DELIVERY19,0.00000000
2762.00000000,DELIVERY18,DELIVERY22,0.00000000
2762.00000000,DELIVERY21,DELIVERY24,0.00000000
