# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
1701.00000000,DELIVERY10,DELIVERY8,0.00000000
1702.00000000,DELIVERY10,DELIVERY8,0.00000000
1703.00000000,DELIVERY10,DELIVERY8,0.00000000
1704.00000000,DELIVERY10,DELIVERY8,0.00000000
1705.00000000,DELIVERY10,DELIVERY8,0.00000000
1706.00000000,DELIVERY10,DELIVERY8,0.00000000
1707.00000000,DELIVERY10,DELIVERY8,0.00000000
1708.00000000,DELIVERY10,DELIVERY8,0.00000000
1709.00000000,DELIVERY10,DELIVERY8,0.00000000
1710.00000000,DELIVERY10,DELIVERY8,0.00000000
1711.00000000,DELIVERY10,DELIVERY8,0.00000000
1712.00000000,DELIVERY10,DELIVERY8,0.00000000
1713.00000000,DELIVERY10,DELIVERY8,0.00000000
1714.00000000,DELIVERY10,DELIVERY8,0.00000000
1715.00000000,DELIVERY10,DELIVERY8,0.00000000
1716.00000000,DELIVERY10,DELIVERY8,0.00000000
1717.00000000,DELIVERY10,DELIVERY8,0.00000000
1718.00000000,DELIVERY10,DELIVERY8,0.00000000
1722.00000000,DELIVERY10,DELIVERY8,0.00000000
1723.00000000,DELIVERY10,DELIVERY8,0.00000000
1724.00000000,DELIVERY10,DELIVERY8,0.00000000
1725.00000000,DELIVERY10,DELIVERY8,0.00000000
1726.00000000,DELIVERY10,DELIVERY8,0.00000000
1727.00000000,DELIVERY10,DELIVERY8,0.00000000
1728.00000000,DELIVERY10,DELIVERY8,0.00000000
1729.00000000,DELIVERY10,DELIVERY8,0.00000000
1730.00000000,DELIVERY10,DELIVERY8,0.00000000
1731.00000000,DELIVERY10,DELIVERY8,0.00000000
1732.00000000,DELIVERY10,DELIVERY8,0.00000000
1733.00000000,DELIVERY10,DELIVERY8,0.00000000
1734.00000000,DELIVERY10,DELIVERY8,0.00000000
1735.00000000,DELIVERY10,DELIVERY8,0.00000000
1736.00000000,DELIVERY10,DELIVERY8,0.00000000
1737.00000000,DELIVERY10,DELIVERY8,0.00000000
1738.00000000,DELIVERY10,DELIVERY8,0.00000000
1739.00000000,DELIVERY10,DELIVERY8,0.00000000
1740.00000000,DELIVERY10,DELIVERY8,0.00000000
1741.00000000,DELIVERY10,DELIVERY8,0.00000000
1742.00000000,DELIVERY10,DELIVERY8,0.00000000
1743.00000000,DELIVERY10,DELIVERY8,0.00000000
1744.00000000,DELIVERY10,DELIVERY8,0.00000000
1745.00000000,DELIVERY10,DELIVERY8,0.00000000
1746.00000000,DELIVERY10,DELIVERY8,0.00000000
1747.00000000,DELIVERY10,DELIVERY8,0.00000000
1748.00000000,DELIVERY10,DELIVERY8,0.00000000
1749.00000000,DELIVERY10,DELIVERY8,0.00000000
1750.00000000,DELIVERY10,DELIVERY8,0.00000000
1751.00000000,DELIVERY10,DELIVERY8,0.00000000
1752.00000000,DELIVERY10,DELIVERY8,0.00000000
1753.00000000,DELIVERY10,DELIVERY8,0.00000000
1754.00000000,DELIVERY10,DELIVERY8,0.00000000
1755.00000000,DELIVERY10,DELIVERY8,0.00000000
1756.00000000,DELIVERY10,DELIVERY8,0.00000000
1757.00000000,DELIVERY10,DELIVERY8,0.00000000
1758.00000000,DELIVERY10,DELIVERY8,0.00000000
1759.00000000,DELIVERY10,DELIVERY8,0.00000000
1760.00000000,DELIVERY10,DELIVERY8,0.00000000
1761.00000000,DELIVERY10,DELIVERY8,0.00000000
1762.00000000,DELIVERY10,DELIVERY8,0.00000000
1763.00000000,DELIVERY10,DELIVERY8,0.00000000
1764.00000000,DELIVERY10,DELIVERY8,0.00000000
1765.00000000,DELIVERY10,DELIVERY8,0.00000000
1766.00000000,DELIVERY10,DELIVERY8,0.00000000
1767.00000000,DELIVERY10,DELIVERY8,0.00000000
1768.00000000,DELIVERY10,DELIVERY8,0.00000000
1769.00000000,DELIVERY10,DELIVERY8,0.00000000
1770.00000000,DELIVERY10,DELIVERY8,0.00000000
1771.00000000,DELIVERY10,DELIVERY8,0.00000000
1772.00000000,DELIVERY10,DELIVERY8,0.00000000
1773.00000000,DELIVERY10,DELIVERY8,0.00000000
1774.00000000,DELIVERY10,DELIVERY8,0.00000000
1775.00000000,DELIVERY10,DELIVERY8,0.00000000
1776.00000000,DELIVERY10,DELIVERY8,0.00000000
1777.00000000,DELIVERY10,DELIVERY8,0.00000000
1778.00000000,DELIVERY10,DELIVERY8,0.00000000
1779.00000000,DELIVERY10,DELIVERY8,0.00000000
1780.00000000,DELIVERY10,DELIVERY8,0.00000000
1781.00000000,DELIVERY10,DELIVERY8,0.00000000
1782.00000000,DELIVERY10,DELIVERY8,0.00000000
1783.00000000,DELIVERY10,DELIVERY8,0.00000000
1784.00000000,DELIVERY10,DELIVERY8,0.00000000
1785.00000000,DELIVERY10,DELIVERY8,0.00000000
1786.00000000,DELIVERY10,DELIVERY8,0.00000000
1787.00000000,DELIVERY10,DELIVERY8,0.00000000
1788.00000000,DELIVERY10,DELIVERY8,0.00000000
