# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
2153.00000000,DELIVERY12,DELIVERY17,0.00000000
2153.00000000,DELIVERY14,DELIVERY17,0.00000000
2153.00000000,DELIVERY15,DELIVERY16,0.00000000
2154.00000000,DELIVERY12,DELIVERY14,0.00000000
2154.00000000,DELIVERY12,DELIVERY17,0.00000000
2154.00000000,DELIVERY14,DELIVERY17,0.00000000
2154.00000000,DELIVERY15,DELIVERY16,0.00000000
2155.00000000,DELIVERY12,DELIVERY14,0.00000000
2155.00000000,DELIVERY12,DELIVERY17,0.00000000
2155.00000000,DELIVERY14,DELIVERY17,0.00000000
2155.00000000,DELIVERY15,DELIVERY16,0.00000000
2156.00000000,DELIVERY12,DELIVERY14,0.00000000
2156.00000000,DELIVERY12,DELIVERY17,0.00000000
2156.00000000,DELIVERY14,DELIVERY17,0.00000000
2156.00000000,DELIVERY15,DELIVERY16,0.00000000
2157.00000000,DELIVERY12,DELIVERY14,0.00000000
2157.00000000,DELIVERY12,DELIVERY17,0.00000000
2157.00000000,DELIVERY14,DELIVERY17,0.00000000
2157.00000000,DELIVERY15,DELIVERY16,0.00000000
2158.00000000,DELIVERY12,DELIVERY14,0.00000000
2158.00000000,DELIVERY12,DELIVERY17,0.00000000
2158.00000000,DELIVERY14,DELIVERY17,0.00000000
2158.00000000,DELIVERY15,DELIVERY16,0.00000000
2159.00000000,DELIVERY12,DELIVERY14,0.00000000
2159.00000000,DELIVERY12,DELIVERY17,0.00000000
2159.00000000,DELIVERY14,DELIVERY17,0.00000000
2159.00000000,DELIVERY15,DELIVERY16,0.00000000
2160.00000000,DELIVERY12,DELIVERY14,0.00000000
2160.00000000,DELIVERY12,DELIVERY17,0.00000000
2160.00000000,DELIVERY14,DELIVERY17,0.00000000
2160.00000000,DELIVERY15,DELIVERY16,0.00000000
2161.00000000,DELIVERY12,DELIVERY14,0.00000000
2161.00000000,DELIVERY12,DELIVERY17,0.00000000
2161.00000000,DELIVERY14,DELIVERY17,0.00000000
2161.00000000,DELIVERY15,DELIVERY16,0.00000000
2162.00000000,DELIVERY12,DELIVERY14,0.00000000
2162.00000000,DELIVERY12,DELIVERY17,0.00000000
2162.00000000,DELIVERY14,DELIVERY17,0.00000000
2162.00000000,DELIVERY15,DELIVERY16,0.00000000
2163.00000000,DELIVERY12,DELIVERY14,0.00000000
2163.00000000,DELIVERY12,DELIVERY17,0.00000000
2163.00000000,DELIVERY14,DELIVERY17,0.00000000
2163.00000000,DELIVERY15,DELIVERY16,0.00000000
2164.00000000,DELIVERY12,DELIVERY14,0.00000000
2164.00000000,DELIVERY12,DELIVERY17,0.00000000
2164.00000000,DELIVERY14,DELIVERY17,0.00000000
2164.00000000,DELIVERY15,DELIVERY16,0.00000000
2165.00000000,DELIVERY12,DELIVERY14,0.00000000
2165.00000000,DELIVERY12,DELIVERY17,0.00000000
2165.00000000,DELIVERY14,DELIVERY17,0.00000000
2165.00000000,DELIVERY15,DELIVERY16,0.00000000
2166.00000000,DELIVERY12,DELIVERY14,0.00000000
2166.00000000,DELIVERY12,DELIVERY17,0.00000000
2166.00000000,DELIVERY14,DELIVERY17,0.00000000
2166.00000000,DELIVERY15,DELIVERY16,0.00000000
2167.00000000,DELIVERY12,DELIVERY14,0.00000000
2167.00000000,DELIVERY12,DELIVERY17,0.00000000
2167.00000000,DELIVERY14,DELIVERY17,0.00000000
2167.00000000,DELIVERY15,DELIVERY16,0.00000000
2168.00000000,DELIVERY12,DELIVERY14,0.00000000
2168.00000000,DELIVERY12,DELIVERY17,0.00000000
2168.00000000,DELIVERY14,DELIVERY17,0.00000000
2168.00000000,DELIVERY15,DELIVERY16,0.00000000
2169.00000000,DELIVERY12,DELIVERY14,0.00000000
2169.00000000,DELIVERY12,DELIVERY17,0.00000000
2169.00000000,DELIVERY14,DELIVERY17,0.00000000
2169.00000000,DELIVERY15,DELIVERY16,0.00000000
2170.00000000,DELIVERY12,DELIVERY14,0.00000000
2170.00000000,DELIVERY12,DELIVERY17,0.00000000
2170.00000000,DELIVERY14,DELIVERY17,0.00000000
2170.00000000,DELIVERY15,DELIVERY16,0.00000000
2171.00000000,DELIVERY12,DELIVERY14,0.00000000
2171.00000000,DELIVERY12,DELIVERY17,0.00000000
